
--- Batch Run Started ---
ImageName;Quaternion(w;x;y;z);ExecutionTime_s
Stellarium_test_image_240p00000_60p00000.png001.png;quaternioncoord(0.4284;0.2154;0.1438;-0.8657);0.9804
Stellarium_test_image_240p00000_90p00000.png001.png;quaternioncoord(-0.6674;0.0000;-0.0003;0.7447);1.2722
Stellarium_test_image_240p00000_m30p00000.png001.png;quaternioncoord(-0.0560;-0.5143;-0.6970;0.4966);0.8185
Stellarium_test_image_240p00000_m60p00000.png001.png;quaternioncoord(-0.0436;-0.6167;-0.7435;0.2548);0.7822
Stellarium_test_image_240p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7536;-0.6573;-0.0004);1.3683
Stellarium_test_image_255p00000_0p00000.png001.png;quaternioncoord(-0.1944;-0.3638;-0.6066;0.6796);0.9123
Stellarium_test_image_255p00000_30p00000.png001.png;quaternioncoord(0.2859;0.2817;0.4135;-0.8173);1.3368
Stellarium_test_image_255p00000_60p00000.png001.png;quaternioncoord(-0.4554;-0.1770;-0.1893;0.8518);1.0863
Stellarium_test_image_255p00000_90p00000.png001.png;quaternioncoord(-0.6674;0.0000;-0.0003;0.7447);1.2756
Stellarium_test_image_255p00000_m30p00000.png001.png;quaternioncoord(0.1451;0.4574;0.7356;-0.4782);1.1239
Stellarium_test_image_255p00000_m60p00000.png001.png;quaternioncoord(0.0989;0.5872;0.7670;-0.2389);0.7740
Stellarium_test_image_270p00000_0p00000.png001.png;quaternioncoord(-0.4209;0.6216;0.6395;0.1658);0.9490
Stellarium_test_image_270p00000_30p00000.png001.png;quaternioncoord(0.3595;0.2077;0.4552;-0.7877);1.0609
Stellarium_test_image_270p00000_60p00000.png001.png;quaternioncoord(-0.4869;-0.1304;-0.2239;0.8342);1.2350
Stellarium_test_image_270p00000_90p00000.png001.png;quaternioncoord(-0.6675;0.0000;-0.0003;0.7446);1.2701
Stellarium_test_image_270p00000_m30p00000.png001.png;quaternioncoord(-0.2243;-0.3886;-0.7742;0.4465);0.6776
Stellarium_test_image_270p00000_m60p00000.png001.png;quaternioncoord(0.1495;0.5581;0.7885;-0.2109);0.8384
Stellarium_test_image_285p00000_0p00000.png001.png;quaternioncoord(-0.3535;-0.1831;-0.6832;0.6121);0.9764
Stellarium_test_image_285p00000_30p00000.png001.png;quaternioncoord(0.4213;0.1220;0.4852;-0.7564);1.3521
Stellarium_test_image_285p00000_60p00000.png001.png;quaternioncoord(-0.5189;-0.0779;-0.2472;0.8146);1.5855
Stellarium_test_image_285p00000_90p00000.png001.png;quaternioncoord(-0.6675;0.0000;-0.0003;0.7446);1.2739
Stellarium_test_image_285p00000_m30p00000.png001.png;quaternioncoord(0.2921;0.3068;0.8101;-0.4054);0.9583
Stellarium_test_image_285p00000_m60p00000.png001.png;quaternioncoord(0.1938;0.5325;0.8059;-0.1713);1.3137
Stellarium_test_image_300p00000_0p00000.png001.png;quaternioncoord(-0.3980;-0.0527;-0.7054;0.5842);1.1037
Stellarium_test_image_300p00000_30p00000.png001.png;quaternioncoord(0.4718;0.0264;0.4996;-0.7260);1.4392
Stellarium_test_image_300p00000_60p00000.png001.png;quaternioncoord(-0.5499;-0.0213;-0.2583;0.7940);0.7900
